date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:27:15	39911/39911	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2023:07:31%20GMT	https://sciencecourseware.org/FlyLabJS/	Z:/Users/matthewyang/Downloads/FlyLab%20JS/sciencecourseware.org/FlyLabJS/index.html	(from )
20:27:15	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20May%202024%2003:27:15%20GMT	https://sciencecourseware.org/robots.txt		(from )
20:27:15	30244/30244	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2016%20Jan%202023%2023:07:21%20GMT	https://sciencecourseware.org/FlyLabJS/jsv2/flyPaths.js	Z:/Users/matthewyang/Downloads/FlyLab%20JS/sciencecourseware.org/FlyLabJS/jsv2/flyPaths.js	(from https://sciencecourseware.org/FlyLabJS/)
20:27:15	15800/15800	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2016%20Jan%202023%2023:07:21%20GMT	https://sciencecourseware.org/FlyLabJS/jsv2/drawFlyFncs.js	Z:/Users/matthewyang/Downloads/FlyLab%20JS/sciencecourseware.org/FlyLabJS/jsv2/drawFlyFncs.js	(from https://sciencecourseware.org/FlyLabJS/)
20:27:16	215/215	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2016%20Jan%202023%2023:07:21%20GMT	https://sciencecourseware.org/FlyLabJS/jsv2/Gene.js	Z:/Users/matthewyang/Downloads/FlyLab%20JS/sciencecourseware.org/FlyLabJS/jsv2/Gene.js	(from https://sciencecourseware.org/FlyLabJS/)
20:27:16	2815/2815	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2016%20Jan%202023%2023:07:19%20GMT	https://sciencecourseware.org/FlyLabJS/jsv2/Chromosome.js	Z:/Users/matthewyang/Downloads/FlyLab%20JS/sciencecourseware.org/FlyLabJS/jsv2/Chromosome.js	(from https://sciencecourseware.org/FlyLabJS/)
20:27:16	570/570	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2016%20Jan%202023%2023:07:21%20GMT	https://sciencecourseware.org/FlyLabJS/jsv2/Gamete.js	Z:/Users/matthewyang/Downloads/FlyLab%20JS/sciencecourseware.org/FlyLabJS/jsv2/Gamete.js	(from https://sciencecourseware.org/FlyLabJS/)
20:27:16	32741/32741	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2016%20Jan%202023%2023:07:22%20GMT	https://sciencecourseware.org/FlyLabJS/jsv2/Genotype.js	Z:/Users/matthewyang/Downloads/FlyLab%20JS/sciencecourseware.org/FlyLabJS/jsv2/Genotype.js	(from https://sciencecourseware.org/FlyLabJS/)
20:27:16	6162/6162	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2016%20Jan%202023%2023:07:23%20GMT	https://sciencecourseware.org/FlyLabJS/jsv2/Phenotype.js	Z:/Users/matthewyang/Downloads/FlyLab%20JS/sciencecourseware.org/FlyLabJS/jsv2/Phenotype.js	(from https://sciencecourseware.org/FlyLabJS/)
20:27:17	5521/5521	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2016%20Jan%202023%2023:07:23%20GMT	https://sciencecourseware.org/FlyLabJS/jsv2/Mendel.js	Z:/Users/matthewyang/Downloads/FlyLab%20JS/sciencecourseware.org/FlyLabJS/jsv2/Mendel.js	(from https://sciencecourseware.org/FlyLabJS/)
